movieId,title,year,genres,cast,keywords,overview
28,Spider-Man Into the Spider-Verse,2018,Animation Action Adventure,Shameik Moore Jake Johnson Hailee Steinfeld,spiderman multiverse animation comic,Teen Miles Morales becomes Spider-Man of his reality crossing his path with five counterparts from other dimensions.
29,Get Out,2017,Horror Mystery Thriller,Daniel Kaluuya Allison Williams Bradley Whitford,racism horror social commentary hypnosis,A young African-American man visits his white girlfriend's parents for the weekend where his simmering uneasiness about their reception escalates.
30,A Quiet Place,2018,Drama Horror Sci-Fi,Emily Blunt John Krasinski Millicent Simmonds,silence aliens survival family,A family is forced to live in silence while hiding from creatures that hunt by sound.
31,Hereditary,2018,Drama Horror Mystery,Toni Collette Alex Wolff Milly Shapiro,grief supernatural cult family horror,A grieving family is haunted by a mysterious presence after the death of their secretive grandmother.
32,The Conjuring,2013,Horror Mystery Thriller,Patrick Wilson Vera Farmiga Ron Livingston,haunting paranormal true story exorcism,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
33,It,2017,Horror,Bill Skarsgard Jaeden Martell Finn Wolfhard,clown kids fear supernatural,Seven preteen outcasts fight an evil demon that can take the shape of their biggest fears.
34,Parasite,2019,Comedy Drama Thriller,Song Kang-ho Lee Sun-kyun Cho Yeo-jeong,class inequality deception family Korea,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
35,Joker,2019,Crime Drama Thriller,Joaquin Phoenix Robert De Niro Zazie Beetz,villain origin mental illness society,A mentally troubled stand-up comedian embarks on a downward spiral leading to the creation of an iconic villain.
36,Once Upon a Time in Hollywood,2019,Comedy Drama,Leonardo DiCaprio Brad Pitt Margot Robbie,Hollywood 1960s nostalgia Manson,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age.
37,1917,2019,Drama War,George MacKay Dean-Charles Chapman Mark Strong,WWI war mission single shot,April 6 1917 two British soldiers are given a seemingly impossible mission to deliver a message deep in enemy territory.
38,Knives Out,2019,Comedy Crime Drama,Daniel Craig Chris Evans Ana de Armas,murder mystery detective whodunit,A detective investigates the death of a patriarch of an eccentric wealthy family.
39,The Irishman,2019,Biography Crime Drama,Robert De Niro Al Pacino Joe Pesci,mob hitman aging regret Scorsese,A mob hitman recalls his possible involvement with the assassination of Jimmy Hoffa.
40,Ford v Ferrari,2019,Action Biography Drama,Matt Damon Christian Bale Jon Bernthal,racing cars competition Le Mans,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a race car for Ford.
41,Whiplash,2014,Drama Music,Miles Teller J.K. Simmons Paul Reiser,music ambition drumming jazz,A promising young drummer enrolls at a cut-throat music conservatory where his dreams and ambitions are mentored by an abusive instructor.
42,La La Land,2016,Comedy Drama Music,Ryan Gosling Emma Stone John Legend,music dreams love Los Angeles jazz,A jazz pianist falls for an aspiring actress in Los Angeles as they struggle to reconcile their aspirations for the future.
43,Bohemian Rhapsody,2018,Biography Drama Music,Rami Malek Gwilym Lee Ben Hardy,Queen Freddie Mercury music band,The story of the legendary rock band Queen and lead singer Freddie Mercury leading up to their famous performance at Live Aid.
44,Rocketman,2019,Biography Drama Music,Taron Egerton Jamie Bell Richard Madden,Elton John music biopic fantasy,A musical fantasy about the fantastical human story of Elton John's breakthrough years.
45,Amadeus,1984,Biography Drama Music,F. Murray Abraham Tom Hulce Elizabeth Berridge,Mozart classical music jealousy genius,The life of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri.
46,The Social Network,2010,Biography Drama,Jesse Eisenberg Andrew Garfield Justin Timberlake,Facebook startup betrayal technology,As Harvard student Mark Zuckerberg creates the social networking site that would become Facebook he is sued by the twins who claimed he stole their idea.
47,Steve Jobs,2015,Biography Drama,Michael Fassbender Kate Winslet Seth Rogen,Apple technology innovation entrepreneur,Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac.
48,The Imitation Game,2014,Biography Drama Thriller,Benedict Cumberbatch Keira Knightley Matthew Goode,Turing codebreaking WWII cryptography,During World War II the English mathematical genius Alan Turing tries to crack the German Enigma code.
49,Hidden Figures,2016,Biography Drama History,Taraji P. Henson Octavia Spencer Janelle Monae,NASA space race mathematics women,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
50,The Martian,2015,Adventure Drama Sci-Fi,Matt Damon Jessica Chastain Kristen Wiig,Mars survival science astronaut,An astronaut becomes stranded on Mars after his team assumes him dead and must rely on his ingenuity to find a way to signal that he is alive.
51,Gravity,2013,Adventure Drama Sci-Fi,Sandra Bullock George Clooney Ed Harris,space survival astronaut orbit,A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.
52,Apollo 13,1995,Adventure Drama History,Tom Hanks Bill Paxton Kevin Bacon,NASA moon mission survival space,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage.
53,Contact,1997,Drama Mystery Sci-Fi,Jodie Foster Matthew McConaughey James Woods,alien signal SETI space communication,Scientist Ellie Arroway after years of searching finds conclusive radio proof of extraterrestrial intelligence.
54,2001 A Space Odyssey,1968,Sci-Fi,Keir Dullea Gary Lockwood William Sylvester,HAL AI space evolution mystery,Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with AI computer HAL 9000.
55,Blade Runner 2049,2017,Action Drama Sci-Fi,Ryan Gosling Harrison Ford Ana de Armas,replicant dystopia future identity,A young blade runner discovers a long-buried secret that leads him to track down former blade runner Rick Deckard.
56,Ex Machina,2014,Drama Sci-Fi Thriller,Domhnall Gleeson Oscar Isaac Alicia Vikander,AI robot consciousness test,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence.
57,Her,2013,Drama Romance Sci-Fi,Joaquin Phoenix Scarlett Johansson Amy Adams,AI love loneliness future operating system,In the near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
58,Arrival,2016,Drama Mystery Sci-Fi,Amy Adams Jeremy Renner Forest Whitaker,alien language linguistics time,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
59,District 9,2009,Action Sci-Fi Thriller,Sharlto Copley David James Jason Cope,alien apartheid refugee South Africa,An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.
60,Children of Men,2006,Action Drama Sci-Fi,Clive Owen Julianne Moore Michael Caine,dystopia infertility future refugee,In 2027 in a chaotic world in which women have become somehow infertile a former activist agrees to help transport a miraculously pregnant woman.
61,The Truman Show,1998,Comedy Drama Sci-Fi,Jim Carrey Laura Linney Noah Emmerich,reality TV simulation identity freedom,An insurance salesman discovers his whole life is actually a reality TV show.
62,Eternal Sunshine of the Spotless Mind,2004,Drama Romance Sci-Fi,Jim Carrey Kate Winslet Tom Wilkinson,memory love erasing identity,When their relationship turns sour a couple undergoes a medical procedure to have each other erased from their memories.
63,Memento,2000,Mystery Thriller,Guy Pearce Carrie-Anne Moss Joe Pantoliano,memory amnesia reverse noir,A man with short-term memory loss attempts to track down his wife's murderer.
64,Shutter Island,2010,Mystery Thriller,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,asylum mystery psychological identity,In 1954 a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.
65,Gone Girl,2014,Drama Mystery Thriller,Ben Affleck Rosamund Pike Neil Patrick Harris,marriage disappearance media suspense,With his wife's disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when it's suspected that he may not be innocent.
66,Prisoners,2013,Crime Drama Mystery,Hugh Jackman Jake Gyllenhaal Viola Davis,kidnapping father investigation obsession,When two young girls go missing their desperate fathers take matters into their own hands as a police detective works the case.
67,Se7en,1995,Crime Drama Mystery,Brad Pitt Morgan Freeman Kevin Spacey,serial killer seven sins detective,Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motive.
68,Zodiac,2007,Crime Drama Mystery,Jake Gyllenhaal Mark Ruffalo Robert Downey Jr,serial killer investigation true story 1970s,In the late 1960s and 1970s a cartoonist becomes an amateur detective obsessed with tracking the Zodiac Killer.
69,Chinatown,1974,Drama Mystery Thriller,Jack Nicholson Faye Dunaway John Huston,noir detective corruption water 1930s,A private detective hired to expose an adulterer finds himself caught up in a web of deceit involving murder and corruption.
70,Rear Window,1954,Mystery Thriller,James Stewart Grace Kelly Wendell Corey,voyeurism hitchcock suspense observation,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
71,Psycho,1960,Horror Mystery Thriller,Anthony Perkins Janet Leigh Vera Miles,hitchcock motel mother killer shower,A Phoenix secretary embezzles forty thousand dollars from her employer's client and goes on the run to meet her lover.
72,The Sixth Sense,1999,Drama Mystery Thriller,Bruce Willis Haley Joel Osment Toni Collette,ghost twist supernatural child,A child psychologist discovers that one of his patients can see and talk to the dead.
73,Unbreakable,2000,Drama Mystery Sci-Fi,Bruce Willis Samuel L. Jackson Robin Wright,superhero origin comic book identity,A man learns that he survived a train wreck because he is nearly invulnerable leading him to a mysterious stranger who may be his nemesis.
74,Signs,2002,Drama Mystery Sci-Fi,Mel Gibson Joaquin Phoenix Cherry Jones,alien crop circles family faith,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.
75,The Village,2004,Drama Mystery Thriller,Bryce Dallas Howard Joaquin Phoenix Adrien Brody,isolation village fear secrets,A series of events tests the beliefs of a small isolated countryside village.
76,Braveheart,1995,Biography Drama History,Mel Gibson Sophie Marceau Patrick McGoohan,Scotland freedom war medieval,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
77,Gladiator,2000,Action Adventure Drama,Russell Crowe Joaquin Phoenix Connie Nielsen,Rome arena revenge emperor,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.
78,Troy,2004,Action Adventure Drama,Brad Pitt Eric Bana Orlando Bloom,Greek mythology war Helen Achilles,An adaptation of Homer's great epic the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.
79,Kingdom of Heaven,2005,Action Drama History,Orlando Bloom Eva Green Liam Neeson,crusades Jerusalem medieval honor,Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century and there he finds himself as the defender of the city.
80,The Last Samurai,2003,Action Drama History,Tom Cruise Ken Watanabe Timothy Spall,Japan samurai honor tradition war,An American military officer is hired to modernize the Japanese army and is captured in battle and learns to respect the samurai and their ways.
81,Rocky,1976,Drama Sport,Sylvester Stallone Talia Shire Burt Young,boxing underdog training determination,A small-time boxer gets a supremely rare chance to fight the heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
82,Raging Bull,1980,Biography Drama Sport,Robert De Niro Joe Pesci Cathy Moriarty,boxing self-destruction jealousy violence,The life of boxer Jake LaMotta whose violence and temper that made him a top contender also destroys his life outside the ring.
83,Moneyball,2011,Biography Drama Sport,Brad Pitt Jonah Hill Philip Seymour Hoffman,baseball statistics analytics team,Oakland A's general manager Billy Beane attempts to assemble a competitive baseball team on a lean budget by employing computer-generated analysis.
84,The Big Short,2015,Biography Comedy Drama,Christian Bale Steve Carell Ryan Gosling,finance housing crisis Wall Street,In 2006-2007 a group of investors bet against the US mortgage market.
85,Wolf of Wall Street,2013,Biography Comedy Crime,Leonardo DiCaprio Jonah Hill Margot Robbie,stockbroker fraud excess greed,Based on the true story of Jordan Belfort from his rise to a wealthy stock-broker living the high life to his fall involving crime and corruption.
86,American Hustle,2013,Crime Drama,Christian Bale Amy Adams Bradley Cooper,con artist FBI sting 1970s,A con man and his seductive partner are forced to work for a wild FBI agent who pushes them into a world of Jersey power-brokers and the Mafia.
87,The Departed,2006,Crime Drama Thriller,Leonardo DiCaprio Matt Damon Jack Nicholson,undercover cop mob mole Boston,An undercover cop and a mole in the police attempt to identify each other while both sides close in on an Irish-American mob boss.
88,Heat,1995,Action Crime Drama,Al Pacino Robert De Niro Val Kilmer,heist detective criminal duality,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a witness alive at a crime scene.
89,Ocean's Eleven,2001,Crime Thriller,George Clooney Brad Pitt Matt Damon,heist Las Vegas casino team,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.
90,The Italian Job,2003,Action Crime Thriller,Mark Wahlberg Charlize Theron Edward Norton,heist gold Venice Mini Cooper,After a spectacular gold heist in Venice a crew of thieves plan to steal it back from one of their own who double-crossed them.
91,Catch Me If You Can,2002,Biography Crime Drama,Leonardo DiCaprio Tom Hanks Christopher Walken,con artist FBI fraud identity,An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars but Frank is always one step ahead.
92,The Usual Suspects,1995,Crime Mystery Thriller,Kevin Spacey Gabriel Byrne Chazz Palminteri,twist heist identity con,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup.
93,No Country for Old Men,2007,Crime Drama Thriller,Tommy Lee Jones Javier Bardem Josh Brolin,hitman chase fate West Texas,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
94,There Will Be Blood,2007,Drama,Daniel Day-Lewis Paul Dano Ciarán Hinds,oil greed religion ambition,A story of family religion and oil in the turn-of-the-20th-century American frontier.
95,The Revenant,2015,Action Adventure Drama,Leonardo DiCaprio Tom Hardy Will Poulter,survival revenge wilderness fur trading,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear.
96,Mad Max Fury Road,2015,Action Adventure Sci-Fi,Tom Hardy Charlize Theron Nicholas Hoult,post-apocalyptic chase desert rebellion,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland.
97,John Wick,2014,Action Crime Thriller,Keanu Reeves Michael Nyqvist Alfie Allen,assassin revenge hitman dog,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and stole his car.
98,Baby Driver,2017,Action Crime Drama,Ansel Elgort Jon Bernthal Jon Hamm,heist music getaway driver tinnitus,After being coerced into working for a crime boss a young getaway driver finds himself taking part in a heist doomed to fail.
99,Dunkirk,2017,Action Drama History,Fionn Whitehead Tom Hardy Mark Rylance,WWII evacuation survival war beach,Allied soldiers from Belgium the British Commonwealth and France are surrounded by the German Army and evacuated during a fierce battle in World War II.
100,Saving Private Ryan,1998,Drama War,Tom Hanks Tom Sizemore Edward Burns,WWII Normandy soldiers mission,Following the Normandy Landings a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
